,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
820,23.0,74800.0,RENT,1.0,MEDICAL,E,20000.0,17.04,0.23,Y,2.0,1
821,22.0,100000.0,RENT,0.0,PERSONAL,B,20000.0,12.21,0.2,N,3.0,0
822,25.0,22260.0,MORTGAGE,9.0,PERSONAL,A,6400.0,7.88,0.29,N,4.0,0
823,26.0,22296.0,OWN,5.666666666666666,PERSONAL,A,5400.0,5.42,0.24,N,3.0,0
824,26.0,104000.0,RENT,0.0,DEBTCONSOLIDATION,B,20000.0,10.74,0.19,N,2.0,0
825,23.0,93000.0,RENT,6.0,PERSONAL,C,20000.0,13.22,0.22,N,3.0,1
826,23.0,95000.0,RENT,0.0,DEBTCONSOLIDATION,D,20000.0,14.59,0.21,Y,2.0,1
827,25.0,108000.0,RENT,0.0,HOMEIMPROVEMENT,C,20000.0,13.996666666666666,0.19,N,4.0,0
828,25.0,96901.0,RENT,3.0,PERSONAL,C,20000.0,13.803333333333333,0.21,N,3.0,1
829,23.0,110000.0,RENT,3.0,EDUCATION,B,20000.0,12.42,0.18,N,3.0,0
830,22.0,110000.0,RENT,7.0,EDUCATION,C,20000.0,14.17,0.18,N,3.0,0
831,22.0,110000.0,RENT,6.0,DEBTCONSOLIDATION,C,20000.0,13.72,0.18,N,3.0,0
832,24.0,110000.0,RENT,1.0,PERSONAL,B,20000.0,10.38,0.18,N,4.0,0
833,23.0,110000.0,RENT,2.0,VENTURE,B,20000.0,12.223333333333333,0.18,N,2.0,0
834,22.0,22800.0,MORTGAGE,5.0,PERSONAL,A,2000.0,7.51,0.09,N,3.0,0
835,22.0,22800.0,MORTGAGE,0.0,HOMEIMPROVEMENT,B,7125.0,11.71,0.31,N,3.0,1
836,23.0,22800.0,MORTGAGE,2.0,PERSONAL,A,3000.000000000001,8.9,0.13,N,2.0,1
837,25.0,85000.0,RENT,7.0,MEDICAL,E,20000.0,17.39,0.2,N,2.0,1
838,23.0,22800.0,MORTGAGE,3.0,PERSONAL,A,4800.0,5.79,0.21,N,2.0,0
839,22.0,22800.0,MORTGAGE,7.666666666666666,PERSONAL,C,8300.0,12.61,0.36,Y,2.0,1
840,23.0,120000.0,RENT,4.0,MEDICAL,B,20000.0,10.37,0.17,N,4.0,0
841,24.0,22800.0,OWN,3.0,HOMEIMPROVEMENT,B,4750.0,11.36,0.21,N,3.0,0
842,24.0,121000.0,RENT,8.0,VENTURE,A,20000.0,8.9,0.17,N,3.0,0
843,23.0,125000.0,RENT,7.0,VENTURE,B,20000.0,11.11,0.16,N,4.0,0
844,22.0,22800.0,MORTGAGE,0.0,EDUCATION,A,3000.000000000001,8.94,0.13,N,2.0,0
845,25.0,130000.0,RENT,0.0,PERSONAL,C,20000.0,15.27,0.15,N,2.0,0
846,26.0,130000.0,RENT,10.0,DEBTCONSOLIDATION,C,20000.0,13.11,0.15,Y,4.0,0
847,23.0,22884.0,MORTGAGE,4.0,EDUCATION,E,6000.0,16.0,0.26,N,2.0,0
848,24.0,133000.0,RENT,3.0,EDUCATION,D,20000.0,12.36,0.15,Y,2.0,0
849,22.0,23000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,A,10625.0,7.51,0.45999999999999996,N,4.0,0
850,21.0,23000.0,MORTGAGE,2.0,MEDICAL,A,7000.0,8.9,0.3,N,3.0,0
851,25.0,140000.0,RENT,9.0,EDUCATION,A,20000.0,6.54,0.14,N,4.0,0
852,24.0,138000.0,RENT,2.0,VENTURE,D,20000.0,15.99,0.14,Y,3.0,1
853,23.0,23000.0,MORTGAGE,7.0,HOMEIMPROVEMENT,D,3600.0,17.27,0.16,Y,3.0,1
854,26.0,148000.0,RENT,1.0,DEBTCONSOLIDATION,E,20000.0,17.99,0.14,N,3.0,1
855,22.0,160000.0,RENT,6.0,PERSONAL,A,20000.0,7.49,0.13,N,4.0,0
856,22.0,23000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,4800.0,10.0,0.21,N,4.0,0
857,26.0,160000.0,RENT,3.0,HOMEIMPROVEMENT,B,20000.0,9.99,0.13,N,3.0,0
858,26.0,168000.0,RENT,1.0,VENTURE,B,20000.0,11.36,0.12,N,4.0,0
859,26.0,172500.0,RENT,3.0,HOMEIMPROVEMENT,B,20000.0,11.83,0.12,N,2.0,0
860,21.0,23000.0,MORTGAGE,6.0,DEBTCONSOLIDATION,C,3000.000000000001,13.35,0.13,N,3.0,0
861,25.0,175000.0,RENT,3.0,DEBTCONSOLIDATION,C,20000.0,14.72,0.11,Y,2.0,0
862,25.0,23000.0,MORTGAGE,7.0,HOMEIMPROVEMENT,A,4400.0,6.76,0.19,N,2.0,0
863,25.0,58000.0,RENT,9.0,MEDICAL,B,19900.0,11.83,0.34,N,4.0,1
864,26.0,116000.0,RENT,10.0,MEDICAL,B,19800.0,11.48,0.17,N,4.0,0
865,26.0,19500.0,RENT,0.0,MEDICAL,C,500.0,11.41,0.03,N,2.0,0
866,25.0,23000.0,MORTGAGE,4.0,PERSONAL,C,10000.0,13.023333333333333,0.42999999999999994,Y,2.0,1
867,21.0,19000.0,RENT,0.0,EDUCATION,C,700.0,12.29,0.04000000000000001,N,2.0,0
868,22.0,23000.0,MORTGAGE,4.0,EDUCATION,D,7000.0,14.96,0.3,Y,3.0,0
869,25.0,19000.0,RENT,0.0,DEBTCONSOLIDATION,C,750.0,12.29,0.04000000000000001,Y,4.0,0
870,23.0,9999.999999999993,RENT,1.666666666666667,PERSONAL,B,1000.0,10.37,0.1,N,2.0,1
871,22.0,9999.999999999993,RENT,0.0,HOMEIMPROVEMENT,D,1000.0,14.74,0.1,N,4.0,1
872,21.0,10140.000000000007,RENT,1.6666666666666665,HOMEIMPROVEMENT,C,1000.0,13.43,0.1,N,4.0,1
873,22.0,23000.0,MORTGAGE,1.0,EDUCATION,A,2400.0,9.63,0.1,N,4.0,0
874,21.0,23000.0,OTHER,0.0,EDUCATION,B,2400.0,12.21,0.1,N,4.0,0
875,23.0,10500.0,RENT,2.6666666666666665,MEDICAL,B,1000.0,10.25,0.1,N,2.0,1
876,22.0,11220.000000000007,RENT,2.333333333333333,MEDICAL,C,1000.0,12.99,0.09,N,4.0,0
877,22.0,11760.0,RENT,0.0,VENTURE,C,1000.0,13.98,0.09,N,4.0,0
878,23.0,11820.0,RENT,1.3333333333333335,DEBTCONSOLIDATION,C,1000.0,14.65,0.08,N,3.0,0
879,25.0,12000.000000000007,RENT,0.0,EDUCATION,B,1000.0,10.65,0.08,N,2.0,0
880,21.0,12000.000000000007,RENT,1.0,EDUCATION,C,1000.0,13.98,0.08,N,2.0,0
881,22.0,12000.000000000007,RENT,0.0,PERSONAL,C,1000.0,13.57,0.08,N,3.0,1
882,22.0,12239.999999999993,RENT,1.0,PERSONAL,D,1000.0,14.96,0.08,Y,3.0,1
883,24.0,13728.0,RENT,1.6666666666666665,DEBTCONSOLIDATION,B,1000.0,10.0,0.07,N,4.0,1
884,21.0,14400.0,RENT,1.0,VENTURE,D,1000.0,16.29,0.07,N,4.0,1
885,23.0,23040.0,OWN,0.0,VENTURE,B,2000.0,11.11,0.09,N,3.0,0
886,21.0,23040.0,OWN,1.0,VENTURE,D,5000.0,14.473333333333333,0.22,N,3.0,0
887,22.0,14400.0,RENT,2.0,VENTURE,E,1000.0,16.69,0.07,Y,3.0,1
888,21.0,23040.0,OWN,0.0,EDUCATION,A,15000.0,8.94,0.65,N,2.0,0
889,22.0,15000.0,RENT,0.0,MEDICAL,D,1000.0,14.3,0.07,Y,3.0,1
890,21.0,16000.0,RENT,2.0,VENTURE,D,1000.0,15.65,0.06000000000000001,Y,3.0,1
891,24.0,16800.0,RENT,6.0,VENTURE,B,1000.0,11.49,0.06000000000000001,N,3.0,0
892,22.0,16800.0,RENT,2.0,EDUCATION,C,1000.0,13.48,0.06000000000000001,Y,4.0,0
893,24.0,19200.0,RENT,2.0,EDUCATION,B,1000.0,12.53,0.05,N,4.0,0
894,23.0,39600.0,RENT,5.0,EDUCATION,B,19000.0,10.62,0.48,N,2.0,1
895,22.0,39900.0,RENT,4.0,VENTURE,B,19000.0,12.18,0.48,N,3.0,1
896,25.0,47000.0,RENT,4.0,MEDICAL,B,19000.0,11.99,0.4,N,2.0,1
897,25.0,50000.0,RENT,2.0,HOMEIMPROVEMENT,B,19000.0,10.99,0.38,N,4.0,1
898,25.0,52000.0,RENT,5.0,MEDICAL,B,19000.0,10.83,0.37,N,4.0,1
899,24.0,23500.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,7000.0,10.38,0.3,N,3.0,0
900,26.0,47500.0,RENT,10.0,PERSONAL,E,19000.0,16.7,0.4,Y,4.0,1
901,25.0,54000.0,RENT,8.0,DEBTCONSOLIDATION,C,19000.0,11.7,0.35,Y,4.0,1
902,22.0,54000.0,RENT,6.0,VENTURE,A,19000.0,7.3100000000000005,0.35,N,4.0,1
903,23.0,54586.0,RENT,5.0,PERSONAL,B,19000.0,11.14,0.35,N,2.0,1
904,26.0,62004.0,RENT,5.0,MEDICAL,A,19000.0,7.49,0.31,N,2.0,1
905,22.0,70000.0,RENT,1.0,MEDICAL,B,19000.0,8.88,0.27,N,4.0,0
906,23.0,72000.0,RENT,3.0,MEDICAL,B,19000.0,10.99,0.26,N,4.0,0
907,24.0,73000.0,RENT,8.0,HOMEIMPROVEMENT,B,19000.0,10.62,0.26,N,3.0,0
908,23.0,78000.0,RENT,2.0,VENTURE,A,19000.0,8.9,0.24,N,2.0,0
909,25.0,23920.0,MORTGAGE,0.0,MEDICAL,D,6000.0,14.59,0.25,Y,2.0,1
910,22.0,23964.0,OWN,5.333333333333333,VENTURE,B,2500.0,9.91,0.1,N,2.0,0
911,26.0,96000.0,RENT,6.0,PERSONAL,C,19000.0,13.22,0.2,Y,2.0,0
912,24.0,105000.0,RENT,2.0,HOMEIMPROVEMENT,C,19000.0,12.29,0.18,Y,2.0,0
913,24.0,175000.0,RENT,1.0,PERSONAL,B,19000.0,11.48,0.11,N,3.0,0
914,26.0,50000.0,RENT,10.0,PERSONAL,B,18950.0,11.483333333333334,0.38,N,3.0,1
915,26.0,55000.0,RENT,7.0,DEBTCONSOLIDATION,A,18800.0,6.99,0.34,N,2.0,1
916,22.0,70000.0,RENT,2.0,DEBTCONSOLIDATION,B,18750.0,10.38,0.27,N,2.0,0
917,22.0,36500.0,RENT,0.0,VENTURE,A,18725.0,6.54,0.51,N,3.0,1
918,22.0,43000.0,RENT,4.0,DEBTCONSOLIDATION,B,18550.0,11.83,0.42999999999999994,N,4.0,1
919,24.0,24000.0,OWN,0.0,VENTURE,B,7100.0,12.42,0.3,N,3.0,0
920,24.0,34300.0,RENT,4.0,MEDICAL,B,18500.0,10.71,0.54,N,2.0,1
921,21.0,36000.0,RENT,3.0,EDUCATION,C,18500.0,10.91,0.51,N,3.0,1
922,22.0,38000.0,RENT,2.0,MEDICAL,A,18500.0,7.66,0.49,N,4.0,1
923,25.0,55784.0,RENT,2.0,DEBTCONSOLIDATION,C,18500.0,13.61,0.33,N,3.0,1
924,23.0,74196.0,RENT,2.0,EDUCATION,B,18500.0,11.26,0.25,N,3.0,0
925,25.0,75000.0,RENT,0.0,EDUCATION,A,18500.0,7.49,0.25,N,3.0,0
926,24.0,73000.0,RENT,0.0,HOMEIMPROVEMENT,A,18500.0,7.9,0.25,N,2.0,1
927,22.0,24000.0,OWN,5.0,MEDICAL,B,8000.0,9.91,0.33,N,2.0,0
928,21.0,24000.0,MORTGAGE,0.0,VENTURE,A,3000.000000000001,7.9,0.13,N,4.0,0
929,24.0,78000.0,RENT,1.0,VENTURE,F,18500.0,15.33,0.24,N,2.0,1
930,26.0,145000.0,RENT,3.0,EDUCATION,C,18500.0,12.87,0.13,Y,3.0,0
931,22.0,24000.0,MORTGAGE,5.0,EDUCATION,A,5000.0,7.9,0.21,N,2.0,0
932,22.0,48888.0,RENT,1.0,PERSONAL,C,18400.0,13.16,0.38,N,2.0,1
933,22.0,50000.0,RENT,2.0,DEBTCONSOLIDATION,B,18400.0,9.99,0.37,N,2.0,1
934,23.0,120000.0,RENT,7.0,PERSONAL,A,18400.0,8.9,0.15,N,2.0,0
935,22.0,24000.0,MORTGAGE,1.0,VENTURE,C,5000.0,14.65,0.21,N,4.0,1
936,25.0,24000.0,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000.0,13.49,0.25,Y,3.0,0
937,22.0,34000.0,RENT,0.0,VENTURE,B,18250.0,10.25,0.54,N,3.0,1
938,24.0,35004.0,RENT,3.0,PERSONAL,B,18250.0,11.49,0.52,N,4.0,1
939,25.0,34500.0,RENT,1.0,VENTURE,E,18250.0,17.04,0.53,N,3.0,1
940,23.0,42504.0,RENT,0.0,MEDICAL,B,18250.0,10.25,0.42999999999999994,N,3.0,1
941,22.0,24000.0,MORTGAGE,4.0,VENTURE,A,1300.0,5.42,0.05,N,3.0,0
942,22.0,36996.0,RENT,2.0,PERSONAL,D,18250.0,14.61,0.49,Y,2.0,1
943,24.0,45600.0,RENT,2.0,VENTURE,C,18250.0,13.35,0.4,N,4.0,1
944,25.0,24000.0,MORTGAGE,8.0,DEBTCONSOLIDATION,A,5800.0,5.99,0.24,N,3.0,0
945,23.0,46000.0,RENT,6.0,PERSONAL,B,18250.0,10.75,0.4,N,2.0,1
946,25.0,46000.0,RENT,8.0,DEBTCONSOLIDATION,C,18250.0,14.26,0.4,N,3.0,1
947,25.0,55044.0,RENT,4.0,VENTURE,E,18250.0,17.56,0.33,N,2.0,1
948,25.0,49200.0,RENT,3.666666666666667,VENTURE,D,18250.0,14.83,0.37,N,3.0,1
949,22.0,50000.0,RENT,6.0,DEBTCONSOLIDATION,E,18250.0,16.7,0.36,Y,3.0,1
950,23.0,50000.0,RENT,4.0,VENTURE,B,18225.0,10.74,0.36,N,2.0,1
951,26.0,44000.0,RENT,0.0,HOMEIMPROVEMENT,D,18225.0,14.91,0.41000000000000003,N,4.0,1
952,24.0,36000.0,RENT,4.0,VENTURE,B,18200.0,8.88,0.51,N,4.0,1
953,25.0,36400.0,RENT,2.0,PERSONAL,B,18200.0,9.91,0.5,N,4.0,1
954,22.0,36000.0,RENT,6.0,DEBTCONSOLIDATION,B,18200.0,11.71,0.51,N,3.0,1
955,24.0,55000.0,RENT,4.0,EDUCATION,B,18200.0,10.99,0.33,N,2.0,1
956,23.0,27000.0,RENT,2.0,VENTURE,C,18000.0,11.54,0.67,Y,4.0,1
957,23.0,24000.0,OWN,2.0,EDUCATION,D,8000.0,15.62,0.33,N,2.0,0
958,23.0,33000.0,RENT,4.0,VENTURE,B,18000.0,9.91,0.55,N,4.0,1
959,21.0,36000.0,RENT,2.333333333333333,PERSONAL,B,18000.0,9.88,0.5,N,3.0,1
960,21.0,30720.0,RENT,5.0,EDUCATION,C,18000.0,13.48,0.59,Y,4.0,1
961,23.0,39996.0,RENT,2.0,EDUCATION,B,18000.0,9.25,0.44999999999999996,N,4.0,1
962,25.0,40000.0,RENT,2.0,MEDICAL,C,18000.0,13.11,0.44999999999999996,Y,3.0,1
963,22.0,24000.0,MORTGAGE,2.0,DEBTCONSOLIDATION,B,5000.0,10.99,0.21,N,4.0,0
964,25.0,42000.0,RENT,3.0,VENTURE,A,18000.0,6.17,0.42999999999999994,N,2.0,1
965,24.0,24000.0,MORTGAGE,3.0,MEDICAL,A,8000.0,5.99,0.33,N,4.0,0
966,24.0,24000.0,OWN,1.0,EDUCATION,A,2400.0,7.49,0.1,N,2.0,0
967,24.0,42765.0,RENT,9.0,DEBTCONSOLIDATION,C,18000.0,11.03,0.42000000000000004,Y,2.0,1
968,24.0,43000.0,RENT,9.0,MEDICAL,A,18000.0,7.9,0.42000000000000004,N,2.0,1
969,22.0,44000.0,RENT,7.0,EDUCATION,C,18000.0,13.57,0.41000000000000003,Y,4.0,1
970,24.0,44000.0,RENT,6.0,VENTURE,B,18000.0,12.18,0.41000000000000003,N,2.0,1
971,25.0,39000.0,RENT,3.0,MEDICAL,E,18000.0,17.19,0.45999999999999996,N,3.0,1
972,22.0,46800.0,RENT,6.0,MEDICAL,C,18000.0,15.23,0.38,Y,2.0,1
973,22.0,48000.0,RENT,5.0,EDUCATION,B,18000.0,11.793333333333333,0.38,N,2.0,1
974,24.0,42000.0,RENT,8.0,HOMEIMPROVEMENT,D,18000.0,14.46,0.42999999999999994,Y,3.0,1
975,24.0,24000.0,OWN,5.0,VENTURE,A,4200.0,6.99,0.17,N,3.0,0
976,24.0,43400.0,RENT,2.0,DEBTCONSOLIDATION,E,18000.0,16.63,0.41000000000000003,Y,2.0,1
977,24.0,50000.0,RENT,1.0,MEDICAL,B,18000.0,12.42,0.36,N,4.0,1
978,24.0,50000.0,RENT,4.0,VENTURE,A,18000.0,7.9,0.36,N,4.0,1
979,23.0,24000.0,MORTGAGE,2.0,MEDICAL,D,5000.0,15.99,0.21,Y,2.0,1
980,23.0,24000.0,OWN,2.6666666666666665,PERSONAL,B,4200.0,10.99,0.17,N,4.0,0
981,26.0,50000.0,RENT,5.0,EDUCATION,C,18000.0,13.11,0.36,N,3.0,1
982,22.0,50000.0,RENT,6.0,VENTURE,C,18000.0,13.79,0.36,N,2.0,1
983,22.0,24000.0,OWN,3.0,EDUCATION,B,2500.0,10.59,0.1,N,2.0,0
984,22.0,52000.0,RENT,6.0,EDUCATION,C,18000.0,13.513333333333332,0.35,N,4.0,1
985,22.0,24000.0,OWN,1.0,MEDICAL,C,6000.0,12.68,0.25,Y,4.0,0
986,25.0,52000.0,RENT,2.0,VENTURE,C,18000.0,12.98,0.35,N,4.0,1
987,22.0,52000.0,RENT,1.0,VENTURE,C,18000.0,13.85,0.35,Y,4.0,1
988,25.0,52526.0,RENT,9.0,VENTURE,B,18000.0,12.21,0.34,N,2.0,1
989,22.0,46610.0,RENT,6.0,DEBTCONSOLIDATION,B,18000.0,10.71,0.39,N,3.0,1
990,24.0,48000.0,RENT,5.0,PERSONAL,A,18000.0,6.54,0.38,N,2.0,1
991,23.0,24000.0,OWN,0.0,PERSONAL,A,8000.0,5.79,0.33,N,3.0,0
992,25.0,55000.0,RENT,2.0,EDUCATION,C,18000.0,12.84,0.33,N,2.0,1
993,25.0,55344.0,RENT,2.0,HOMEIMPROVEMENT,B,18000.0,10.99,0.33,N,4.0,1
994,23.0,24000.0,MORTGAGE,5.0,MEDICAL,B,1375.0,11.11,0.06000000000000001,N,4.0,1
995,24.0,56000.0,RENT,2.0,EDUCATION,C,18000.0,13.48,0.32,N,3.0,1
996,21.0,50000.0,RENT,2.0,EDUCATION,D,18000.0,14.74,0.36,N,2.0,1
997,25.0,58000.0,RENT,6.0,VENTURE,C,18000.0,14.01,0.31,N,4.0,1
998,21.0,52240.0,RENT,5.0,MEDICAL,E,18000.0,19.69,0.34,N,2.0,1
999,26.0,53000.0,RENT,2.0,VENTURE,E,18000.0,17.19,0.34,Y,3.0,1
1000,22.0,60000.0,RENT,3.0,EDUCATION,D,18000.0,16.32,0.3,N,4.0,0
1001,22.0,60000.0,RENT,0.0,EDUCATION,B,18000.0,9.33,0.3,N,3.0,0
1002,25.0,61500.0,RENT,1.0,EDUCATION,C,18000.0,13.23,0.29,Y,2.0,0
1003,26.0,24000.0,MORTGAGE,10.0,MEDICAL,A,5000.0,7.66,0.21,N,3.0,1
1004,22.0,62000.0,RENT,0.0,MEDICAL,C,18000.0,13.85,0.29,Y,4.0,0
1005,23.0,24000.0,MORTGAGE,1.0,EDUCATION,B,5600.0,9.63,0.23,N,3.0,0
1006,24.0,24000.0,OWN,2.0,VENTURE,A,10000.0,6.92,0.42000000000000004,N,4.0,0
1007,22.0,63000.0,RENT,0.0,VENTURE,B,18000.0,9.63,0.29,N,4.0,0
1008,23.0,63000.0,RENT,1.0,EDUCATION,B,18000.0,10.99,0.29,N,3.0,0
1009,23.0,63000.0,RENT,2.0,EDUCATION,C,18000.0,13.57,0.29,Y,3.0,0
1010,25.0,65000.0,RENT,8.0,VENTURE,A,18000.0,7.6433333333333335,0.28,N,3.0,0
1011,25.0,65000.0,RENT,9.0,HOMEIMPROVEMENT,C,18000.0,13.99,0.28,N,3.0,0
1012,24.0,59000.0,RENT,1.0,HOMEIMPROVEMENT,D,18000.0,14.96,0.31,Y,4.0,1
1013,25.0,65000.0,RENT,8.0,HOMEIMPROVEMENT,C,18000.0,13.823333333333334,0.28,N,3.0,0
1014,26.0,59000.0,RENT,2.0,VENTURE,E,18000.0,16.0,0.31,N,4.0,1
1015,26.0,60000.0,RENT,2.0,HOMEIMPROVEMENT,D,18000.0,16.29,0.3,Y,2.0,1
1016,25.0,66000.0,RENT,9.0,EDUCATION,B,18000.0,10.25,0.27,N,3.0,0
1017,21.0,68000.0,RENT,4.0,EDUCATION,B,18000.0,10.65,0.26,N,2.0,0
1018,24.0,70000.0,RENT,1.0,HOMEIMPROVEMENT,B,18000.0,9.88,0.26,N,2.0,0
1019,25.0,54400.0,RENT,10.0,MEDICAL,E,18000.0,16.0,0.28,Y,2.0,1
1020,25.0,70200.0,RENT,9.0,EDUCATION,E,18000.0,16.45,0.26,N,2.0,0
1021,25.0,65000.0,RENT,3.0,PERSONAL,D,18000.0,15.33,0.28,N,4.0,1
1022,26.0,71820.0,RENT,10.0,DEBTCONSOLIDATION,B,18000.0,11.83,0.25,N,2.0,0
1023,24.0,66000.0,RENT,2.0,PERSONAL,D,18000.0,14.54,0.27,Y,4.0,1
1024,24.0,72000.0,RENT,4.0,VENTURE,A,18000.0,7.88,0.25,N,2.0,0
1025,24.0,24000.0,OWN,3.0,EDUCATION,C,3000.000000000001,13.98,0.13,N,2.0,0
1026,23.0,73500.0,RENT,7.0,EDUCATION,A,18000.0,7.31,0.24,N,2.0,0
1027,25.0,24000.0,MORTGAGE,0.0,VENTURE,D,1200.0,15.21,0.05,Y,4.0,0
1028,23.0,75000.0,RENT,7.0,EDUCATION,C,18000.0,12.73,0.24,Y,4.0,0
1029,25.0,24000.0,MORTGAGE,2.0,PERSONAL,D,3500.0,15.58,0.15,Y,2.0,1
1030,23.0,75576.0,RENT,7.0,EDUCATION,B,18000.0,9.88,0.24,N,3.0,0
1031,21.0,24000.0,OWN,2.0,MEDICAL,B,7000.0,11.86,0.29,N,2.0,0
1032,26.0,78000.0,RENT,6.0,EDUCATION,C,18000.0,13.49,0.23,N,2.0,0
1033,21.0,80000.0,RENT,6.0,VENTURE,A,18000.0,7.9,0.23,N,2.0,0
1034,23.0,80000.0,RENT,5.0,VENTURE,A,18000.0,8.49,0.23,N,3.0,0
1035,22.0,80000.0,RENT,1.0,EDUCATION,B,18000.0,10.99,0.23,N,4.0,0
1036,26.0,80171.0,RENT,3.0,HOMEIMPROVEMENT,C,18000.0,13.85,0.22,N,3.0,0
1037,23.0,81000.0,RENT,7.0,MEDICAL,C,18000.0,13.98,0.22,N,2.0,0
1038,23.0,24000.0,MORTGAGE,1.0,DEBTCONSOLIDATION,D,2799.999999999999,16.07,0.12,N,3.0,1
1039,23.0,82000.0,RENT,7.0,MEDICAL,A,18000.0,7.763333333333334,0.22,N,2.0,0
1040,23.0,76500.0,RENT,3.0,DEBTCONSOLIDATION,B,18000.0,10.65,0.24,N,4.0,1
1041,24.0,24000.0,MORTGAGE,4.0,EDUCATION,D,8500.0,15.7,0.35,N,2.0,0
1042,26.0,24000.0,MORTGAGE,5.0,PERSONAL,C,2100.0,13.11,0.09,N,3.0,0
1043,22.0,82570.0,RENT,6.0,VENTURE,C,18000.0,15.27,0.22,N,2.0,0
1044,26.0,24000.0,MORTGAGE,1.0,HOMEIMPROVEMENT,B,6000.0,10.99,0.25,N,4.0,0
1045,25.0,84000.0,RENT,5.0,HOMEIMPROVEMENT,B,18000.0,9.88,0.21,N,3.0,0
1046,22.0,24000.0,MORTGAGE,6.0,MEDICAL,A,2500.0,7.139999999999999,0.1,N,2.0,0
1047,25.0,85000.0,RENT,0.0,EDUCATION,B,18000.0,11.71,0.21,N,4.0,0
1048,26.0,86000.0,RENT,10.0,VENTURE,A,18000.0,8.49,0.21,N,2.0,0
1049,23.0,87000.0,RENT,2.0,EDUCATION,B,18000.0,11.89,0.21,N,2.0,0
1050,23.0,88000.0,RENT,1.0,EDUCATION,C,18000.0,13.16,0.2,N,4.0,0
1051,23.0,90000.0,RENT,4.0,PERSONAL,B,18000.0,8.88,0.2,N,4.0,0
1052,24.0,95000.0,RENT,3.0,DEBTCONSOLIDATION,A,18000.0,8.49,0.19,N,4.0,0
1053,26.0,95000.0,RENT,9.0,HOMEIMPROVEMENT,D,18000.0,15.31,0.19,N,3.0,0
1054,24.0,102000.0,RENT,8.0,EDUCATION,C,18000.0,12.53,0.18,Y,3.0,0
1055,24.0,110000.0,RENT,4.0,DEBTCONSOLIDATION,B,18000.0,12.18,0.16,N,4.0,0
1056,23.0,87550.0,RENT,7.0,MEDICAL,A,18000.0,7.51,0.17,N,3.0,1
1057,26.0,116004.0,RENT,6.0,VENTURE,B,18000.0,11.83,0.16,N,4.0,0
1058,24.0,121000.0,RENT,8.0,PERSONAL,F,18000.0,18.3,0.15,N,3.0,0
1059,22.0,125000.0,RENT,3.0,MEDICAL,C,18000.0,14.79,0.14,Y,3.0,0
1060,25.0,24000.0,OWN,4.0,MEDICAL,B,5000.0,10.95,0.21,N,3.0,0
1061,22.0,144500.0,RENT,5.0,DEBTCONSOLIDATION,C,18000.0,13.72,0.12,N,3.0,0
1062,24.0,155000.0,RENT,8.0,EDUCATION,B,18000.0,10.62,0.12,N,4.0,0
1063,22.0,24000.0,OWN,6.0,MEDICAL,B,5000.0,12.21,0.21,N,3.0,0
1064,21.0,75000.0,RENT,3.0,EDUCATION,C,17950.0,10.91,0.24,N,3.0,0
1065,26.0,130000.0,RENT,2.0,PERSONAL,A,17950.0,7.51,0.14,N,2.0,0
1066,25.0,24000.0,OWN,0.0,MEDICAL,A,7000.0,9.63,0.29,N,3.0,0
1067,23.0,62050.0,RENT,1.0,MEDICAL,E,17800.0,16.35,0.24,Y,3.0,1
1068,23.0,24000.0,OWN,1.0,EDUCATION,B,1500.0,12.21,0.06000000000000001,N,2.0,0
1069,22.0,48000.0,RENT,0.0,DEBTCONSOLIDATION,C,17750.0,13.49,0.37,N,4.0,1
1070,22.0,65000.0,RENT,6.0,DEBTCONSOLIDATION,B,17700.0,11.49,0.27,N,2.0,0
1071,26.0,24000.0,MORTGAGE,5.0,PERSONAL,B,8000.0,9.76,0.33,N,3.0,0
1072,24.0,24000.0,MORTGAGE,3.0,EDUCATION,C,8000.0,11.34,0.33,Y,4.0,0
1073,22.0,24000.0,MORTGAGE,2.0,EDUCATION,D,3975.0,13.87,0.17,N,3.0,0
1074,23.0,45000.0,RENT,1.0,DEBTCONSOLIDATION,A,17625.0,8.9,0.39,N,4.0,1
1075,25.0,59256.0,RENT,3.333333333333333,MEDICAL,C,17600.0,12.99,0.3,N,2.0,0
1076,22.0,65500.0,RENT,4.0,EDUCATION,B,17600.0,10.74,0.27,N,2.0,0
1077,24.0,70000.0,RENT,1.0,HOMEIMPROVEMENT,B,17600.0,10.62,0.25,N,2.0,0
1078,24.0,71480.0,RENT,8.0,HOMEIMPROVEMENT,F,17600.0,16.900000000000002,0.25,N,4.0,0
1079,21.0,24000.0,MORTGAGE,2.0,EDUCATION,B,5000.0,8.7,0.21,N,2.0,0
1080,23.0,24091.0,MORTGAGE,5.0,PERSONAL,C,3500.0,12.99,0.15,Y,2.0,0
1081,24.0,72250.0,RENT,5.0,MEDICAL,E,17600.0,17.19,0.21,Y,4.0,1
1082,25.0,32400.0,RENT,1.0,HOMEIMPROVEMENT,D,17500.0,15.95,0.54,Y,3.0,1
